sku,title,brand,model,price,product_url,platform,shop,category,tags,selling_points,limitations,recommendation_text,raw_specs_text
,AMD Ryzen 5 9600X 处理器,AMD,Ryzen 5 9600X,1599,,JD,,cpu,AM5|DDR5|6核12线程|游戏CPU,单核性能强|功耗较低|AM5升级空间好,多核生产力不如8核或12核CPU,适合游戏为主兼顾轻中度开发的装机方案,品牌 AMD；型号 Ryzen 5 9600X；接口 AM5；6核12线程；基础频率 3.9GHz；睿频 5.4GHz；TDP 65W；核显 true；架构 Zen 5；发布时间 2024。
,AMD Ryzen 7 7700 处理器,AMD,Ryzen 7 7700,1699,,JD,,cpu,AM5|DDR5|8核16线程|开发CPU,8核16线程更适合多任务|功耗低|平台升级空间好,单核和新架构不如9000系,适合游戏和Android开发均衡方案,品牌 AMD；型号 Ryzen 7 7700；接口 AM5；8核16线程；基础频率 3.8GHz；睿频 5.3GHz；TDP 65W；核显 true；架构 Zen 4；发布时间 2023。
,Intel Core i5-14600KF 处理器,Intel,Core i5-14600KF,1799,,JD,,cpu,LGA1700|14核20线程|高频游戏CPU,游戏性能强|多线程性能好,无核显且功耗和散热压力较高,适合偏游戏同时有编译需求的用户,品牌 Intel；型号 Core i5-14600KF；接口 LGA1700；14核20线程；基础频率 3.5GHz；睿频 5.3GHz；TDP 125W；核显 false；架构 Raptor Lake Refresh；发布时间 2023。
,AMD Ryzen 7 9700X 处理器,AMD,Ryzen 7 9700X,2299,,JD,,cpu,AM5|DDR5|8核16线程|Zen5,能效优秀|单核性能强|适合开发和游戏,价格高于Ryzen 7 7700,适合预算稍高且重视能效的装机方案,品牌 AMD；型号 Ryzen 7 9700X；接口 AM5；8核16线程；基础频率 3.8GHz；睿频 5.5GHz；TDP 65W；核显 true；架构 Zen 5；发布时间 2024。
,微星 B650M MORTAR WIFI 主板,MSI,B650M MORTAR WIFI,1299,,JD,,motherboard,AM5|B650|M-ATX|DDR5|Wi-Fi,供电规格稳|带Wi-Fi和蓝牙|适合AM5中高端装机,扩展能力弱于ATX主板,适合Ryzen 7000到9000平台的均衡主板,品牌 MSI；型号 B650M MORTAR WIFI；接口 AM5；芯片组 B650；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；最高内存频率 7600MHz；M.2 插槽 2；SATA接口 4；Wi-Fi true；蓝牙 true。
,华硕 TUF GAMING B650M-PLUS WIFI 主板,ASUS,TUF GAMING B650M-PLUS WIFI,1399,,JD,,motherboard,AM5|B650|TUF|Wi-Fi,做工扎实|无线连接完整|适合长期使用,价格高于入门B650M,适合追求稳定性的AM5平台,品牌 ASUS；型号 TUF GAMING B650M-PLUS WIFI；接口 AM5；芯片组 B650；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；M.2 插槽 2；Wi-Fi true；蓝牙 true。
,技嘉 B760M AORUS ELITE AX 主板,GIGABYTE,B760M AORUS ELITE AX,1199,,JD,,motherboard,LGA1700|B760|DDR5|Wi-Fi,适合Intel 12到14代|带Wi-Fi|扩展够用,不支持CPU超频,适合i5级Intel游戏和开发主机,品牌 技嘉；型号 B760M AORUS ELITE AX；接口 LGA1700；芯片组 B760；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；M.2 插槽 2；Wi-Fi true；蓝牙 true。
,微星 PRO B760M-A WIFI DDR5 主板,MSI,PRO B760M-A WIFI DDR5,1099,,JD,,motherboard,LGA1700|B760|M-ATX|Wi-Fi,价格适中|无线功能完整|适合主流Intel平台,外观和供电规格偏实用,适合预算控制型Intel装机,品牌 MSI；型号 PRO B760M-A WIFI DDR5；接口 LGA1700；芯片组 B760；板型 M-ATX；内存类型 DDR5；内存插槽 4；最大内存 192GB；M.2 插槽 2；Wi-Fi true；蓝牙 true。
100059277629,铭瑄 GeForce RTX 4070 iCraft OC12G 显卡,MAXSUN,MS-RTX4070 iCraft OC12G,4299,https://item.jd.com/100059277629.html,JD,铭瑄京东自营旗舰店,gpu,NVIDIA|RTX4070|12GB|2K游戏,2K游戏性能较强|支持CUDA和DLSS|功耗相对可控,12GB显存在部分AI场景偏紧,适合2K游戏和CUDA轻量创作,品牌 铭瑄；显卡型号 RTX 4070；显存容量 12GB；显存类型 GDDR6X；显存位宽 192bit；建议电源 650W；显卡长度 320mm；电源接口 8pin x 1；CUDA true。
100268714364,技嘉 GeForce RTX 5080 WindForce 16G 显卡,GIGABYTE,RTX 5080 WindForce 16G,8299,https://item.jd.com/100268714364.html,JD,技嘉京东自营旗舰店,gpu,NVIDIA|RTX5080|16GB|4K游戏,4K游戏性能强|16GB显存|适合AI和创作,价格高且需要高规格电源和机箱空间,适合高预算游戏和AI创作用户,品牌 技嘉；显卡型号 RTX 5080；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 850W；显卡长度 340mm；电源接口 12V-2x6；CUDA true。
10138402741560,微星 RTX 5070 Ti 神龙 OC 16G 显卡,MSI,RTX 5070 Ti 神龙 OC 16G,6299,https://item.jd.com/10138402741560.html,JD,小而美电脑小店,gpu,NVIDIA|RTX5070Ti|16GB|2K高刷,2K高刷余量好|16GB显存|支持CUDA,价格高于RTX4070级别,适合2K高刷游戏和轻中度AI,品牌 微星；显卡型号 RTX 5070 Ti；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 750W；显卡长度 330mm；电源接口 12V-2x6；CUDA true。
10167066467136,七彩虹 iGame RTX 5080 Vulcan W OC 显卡,Colorful,RTX 5080 Vulcan W OC,8999,https://item.jd.com/10167066467136.html,JD,高端显卡旗舰店,gpu,NVIDIA|RTX5080|白色显卡|16GB,高端性能|白色主题外观|适合4K和创作,体积大且预算压力大,适合白色高端主题主机,品牌 七彩虹；显卡型号 RTX 5080；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 850W；显卡长度 348mm；电源接口 12V-2x6；CUDA true。
10174937944914,微星 RTX5080 16G 魔龙 显卡,MSI,RTX5080 16G 魔龙,8599,https://item.jd.com/10174937944914.html,JD,微星至达专卖店,gpu,NVIDIA|RTX5080|16GB|高端游戏,散热规格高|性能强|适合4K游戏,需要较高预算和电源规格,适合高性能游戏主机,品牌 微星；显卡型号 RTX 5080；显存容量 16GB；显存类型 GDDR7；显存位宽 256bit；建议电源 850W；显卡长度 336mm；电源接口 12V-2x6；CUDA true。
100053199702,NVIDIA GeForce RTX 4060 Ti Founder Edition 显卡,NVIDIA,RTX 4060 Ti Founder Edition,2999,https://item.jd.com/100053199702.html,JD,英伟达,gpu,NVIDIA|RTX4060Ti|8GB|1080p游戏,功耗低|支持DLSS和CUDA|适合1080p游戏,8GB显存限制2K和AI场景,适合预算有限的1080p游戏用户,品牌 NVIDIA；显卡型号 RTX 4060 Ti；显存容量 8GB；显存类型 GDDR6；显存位宽 128bit；建议电源 550W；显卡长度 244mm；电源接口 8pin x 1；CUDA true。
100356288414,瀚铠 RX 9070 16GB OC 超合金 PRO 白色显卡,VASTARMOR,RX 9070 16GB OC 超合金 PRO,4899,https://item.jd.com/100356288414.html,JD,,gpu,AMD|RX9070|16GB|白色显卡,16GB显存适合2K游戏|白色外观|三风扇散热,不支持CUDA且AI生态弱于NVIDIA,适合2K游戏和非CUDA创作用户,品牌 瀚铠；显卡型号 RX 9070；显存容量 16GB；显存类型 GDDR6；显存位宽 256bit；建议电源 650W；显卡长度 332mm；电源接口 8pin x 2；CUDA false。
,蓝宝石 Radeon RX 7800 XT 16G 白金版 显卡,Sapphire,RX 7800 XT 16G 白金版,3699,,JD,,gpu,AMD|RX7800XT|16GB|2K游戏,16GB显存|2K游戏性价比高,不适合CUDA工作流,适合偏游戏且预算有限的2K用户,品牌 蓝宝石；显卡型号 RX 7800 XT；显存容量 16GB；显存类型 GDDR6；显存位宽 256bit；建议电源 700W；显卡长度 320mm；电源接口 8pin x 2；CUDA false。
,索泰 GeForce RTX 4070 SUPER X-GAMING OC 显卡,ZOTAC,RTX 4070 SUPER X-GAMING OC,4699,,JD,,gpu,NVIDIA|RTX4070SUPER|12GB|2K高刷,2K高刷表现好|CUDA生态完整,12GB显存对部分AI任务有限,适合2K高刷和轻量AI用户,品牌 索泰；显卡型号 RTX 4070 SUPER；显存容量 12GB；显存类型 GDDR6X；显存位宽 192bit；建议电源 700W；显卡长度 307mm；电源接口 12VHPWR；CUDA true。
,华硕 DUAL RTX 4060 O8G 显卡,ASUS,DUAL RTX 4060 O8G,2399,,JD,,gpu,NVIDIA|RTX4060|8GB|入门游戏,功耗低|适合小机箱|支持DLSS,不适合2K高画质和AI大模型,适合1080p游戏和轻办公,品牌 华硕；显卡型号 RTX 4060；显存容量 8GB；显存类型 GDDR6；显存位宽 128bit；建议电源 550W；显卡长度 227mm；电源接口 8pin x 1；CUDA true。
,讯景 Radeon RX 7900 GRE 16G 海外版 显卡,XFX,RX 7900 GRE 16G,4199,,JD,,gpu,AMD|RX7900GRE|16GB|2K高刷,游戏性价比较高|16GB显存,AI CUDA生态不足,适合高性价比2K游戏,品牌 讯景；显卡型号 RX 7900 GRE；显存容量 16GB；显存类型 GDDR6；显存位宽 256bit；建议电源 750W；显卡长度 335mm；电源接口 8pin x 2；CUDA false。
,七彩虹 RTX 5070 Ultra W OC 12GB 显卡,Colorful,RTX 5070 Ultra W OC 12GB,5499,,JD,,gpu,NVIDIA|RTX5070|12GB|白色显卡,适合2K高刷|DLSS新特性|白色外观,12GB显存不如16GB型号宽裕,适合游戏优先的白色主题装机,品牌 七彩虹；显卡型号 RTX 5070；显存容量 12GB；显存类型 GDDR7；显存位宽 192bit；建议电源 750W；显卡长度 320mm；电源接口 12V-2x6；CUDA true。
